project,github_repo,github_url,local_commit_count,path
morseth,morsethussy,https://github.com/mojomast/morsethussy,1,/home/mojo/builds/morseth
mort,mortussy,https://github.com/mojomast/mortussy,1,/home/mojo/builds/mort
motif,motifussy,https://github.com/mojomast/motifussy,1,/home/mojo/builds/motif
mtor,mtorussy,https://github.com/mojomast/mtorussy,1,/home/mojo/builds/mtor
mushin,mushinussy,https://github.com/mojomast/mushinussy,1,/home/mojo/builds/mushin
mustia,mustiaussy,https://github.com/mojomast/mustiaussy,1,/home/mojo/builds/mustia
mycelium,myceliumussy,https://github.com/mojomast/myceliumussy,1,/home/mojo/builds/mycelium
neophaga,neophagaussy,https://github.com/mojomast/neophagaussy,1,/home/mojo/builds/neophaga
niche,nicheussy,https://github.com/mojomast/nicheussy,1,/home/mojo/builds/niche
oarsa,oarsaussy,https://github.com/mojomast/oarsaussy,1,/home/mojo/builds/oarsa
obscura,obscuraussy,https://github.com/mojomast/obscuraussy,1,/home/mojo/builds/obscura
occlusa,occlusaussy,https://github.com/mojomast/occlusaussy,1,/home/mojo/builds/occlusa
olfacto,olfactoussy,https://github.com/mojomast/olfactoussy,1,/home/mojo/builds/olfacto
onycha,onychaussy,https://github.com/mojomast/onychaussy,1,/home/mojo/builds/onycha
operon,operonussy,https://github.com/mojomast/operonussy,1,/home/mojo/builds/operon
optic,opticussy,https://github.com/mojomast/opticussy,1,/home/mojo/builds/optic
orbital,orbitalussy,https://github.com/mojomast/orbitalussy,1,/home/mojo/builds/orbital
orsera,orseraussy,https://github.com/mojomast/orseraussy,1,/home/mojo/builds/orsera
ottavia,ottaviaussy,https://github.com/mojomast/ottaviaussy,1,/home/mojo/builds/ottavia
ovulera,ovuleraussy,https://github.com/mojomast/ovuleraussy,1,/home/mojo/builds/ovulera
paddock,paddockussy,https://github.com/mojomast/paddockussy,1,/home/mojo/builds/paddock
palpa,palpaussy,https://github.com/mojomast/palpaussy,1,/home/mojo/builds/palpa
palpebra,palpebraussy,https://github.com/mojomast/palpebraussy,1,/home/mojo/builds/palpebra
palyno,palynoussy,https://github.com/mojomast/palynoussy,1,/home/mojo/builds/palyno
parliament,parliamentussy,https://github.com/mojomast/parliamentussy,1,/home/mojo/builds/parliament
paronycha,paronychaussy,https://github.com/mojomast/paronychaussy,1,/home/mojo/builds/paronycha
patchwise,patchwiseussy,https://github.com/mojomast/patchwiseussy,1,/home/mojo/builds/patchwise
patina,patinaussy,https://github.com/mojomast/patinaussy,1,/home/mojo/builds/patina
pediculia,pediculiaussy,https://github.com/mojomast/pediculiaussy,1,/home/mojo/builds/pediculia
pedon,pedonussy,https://github.com/mojomast/pedonussy,1,/home/mojo/builds/pedon
